Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
0,7.87E-06,0.33322759,0
0.1,8.87E-06,0.40339432,0.002472
0.2,9.87E-06,0.50824517,0.003944
0.3,1.09E-05,0.56102848,0.006121
0.4,1.19E-05,0.59676664,0.008472
0.5,1.29E-05,0.59831355,0.01154
0.6,1.39E-05,0.7906176,0.014562
0.7,1.49E-05,0.87486125,0.017182
0.8,1.59E-05,0.96229806,0.019596
0.9,1.69E-05,0.99530926,0.022189
1,1.79E-05,1.0855672,0.02521
1.1,1.89E-05,1.176504,0.026866
1.2,1.99E-05,1.2497658,0.029199
1.3,2.09E-05,1.3104631,0.032426
1.4,2.19E-05,1.2684448,0.035198
1.5,2.29E-05,1.4289642,0.037593
1.6,2.39E-05,1.5246192,0.03978
1.7,2.49E-05,1.6078618,0.043127
1.8,2.59E-05,1.71816,0.045992
1.9,2.69E-05,1.7900612,0.048128
2,2.79E-05,1.8135537,0.052098
2.1,2.89E-05,1.9398186,0.054534
2.2,2.99E-05,2.0680381,0.057516
2.3,3.09E-05,1.9587767,0.059294
2.4,3.19E-05,2.084992,0.062673
2.5,3.29E-05,2.1868073,0.066642
2.6,3.39E-05,2.3197044,0.068554
2.7,3.49E-05,2.3921081,0.072987
2.8,3.59E-05,2.4813188,0.075659
2.9,3.69E-05,2.5079834,0.077638
3,3.79E-05,2.6479031,0.080932
3.1,3.89E-05,2.6708861,0.083392
3.2,3.99E-05,2.6973948,0.085768
3.3,4.09E-05,2.8748209,0.0892
3.4,4.19E-05,2.926716,0.093027
3.5,4.29E-05,2.9597604,0.095252
3.6,4.39E-05,3.0832956,0.097825
3.7,4.49E-05,3.1023974,0.10091
3.8,4.59E-05,3.184496,0.103866
3.9,4.69E-05,3.2252444,0.108761
4,4.79E-05,3.2897836,0.112675
4.1,4.89E-05,3.3259805,0.115179
4.2,4.99E-05,3.4035254,0.117678
4.3,5.09E-05,3.5035274,0.120607
4.4,5.19E-05,3.5791898,0.124582
4.5,5.29E-05,3.6651648,0.128131
4.6,5.39E-05,3.7301327,0.129803
4.7,5.49E-05,3.7425514,0.13335
4.8,5.59E-05,3.9034284,0.136742
4.9,5.69E-05,3.9515861,0.140906
5,5.79E-05,4.0880585,0.144451
5.1,5.89E-05,4.0535794,0.146892
5.2,5.99E-05,4.1702253,0.151574
5.3,6.09E-05,4.2040534,0.154321
5.4,6.19E-05,4.2478759,0.158838
5.5,6.29E-05,4.3109369,0.161579
5.6,6.39E-05,4.4145188,0.164943
5.7,6.49E-05,4.4399005,0.168158
5.8,6.59E-05,4.5328572,0.170616
5.9,6.69E-05,4.6038279,0.175453
6,6.79E-05,4.7599437,0.177484
6.1,6.89E-05,4.72327,0.18179
6.2,6.99E-05,4.7956921,0.186981
6.3,7.09E-05,4.8580346,0.190484
6.4,7.19E-05,4.8998952,0.192629
6.5,7.29E-05,4.9925955,0.196215
6.6,7.39E-05,5.0579352,0.199678
6.7,7.49E-05,5.021405,0.202895
6.8,7.59E-05,5.1676118,0.206097
6.9,7.69E-05,5.143736,0.210697
7,7.79E-05,5.2474579,0.212796
7.1,7.89E-05,5.3291266,0.21643
7.2,7.99E-05,5.3785578,0.219734
7.3,8.09E-05,5.4166977,0.222925
7.4,8.19E-05,5.4501546,0.225731
7.5,8.29E-05,5.5371939,0.228791
7.6,8.39E-05,5.5488052,0.23631
7.7,8.49E-05,5.4924778,0.236074
7.8,8.59E-05,5.6068467,0.241845
7.9,8.69E-05,5.810657,0.245382
8,8.79E-05,5.8493894,0.248937
